parcel_id,municipal_plot_id,conflict_count,recommended_action,explanation,confidence_score,confidence_level,evidence,review_status,officer_action,officer_comment,priority
P0036,M-8035,1,REVIEW OWNER,Owner records differ. Cadastral: Amit S.; Municipal: Sunita Pawar.,80,MEDIUM CONFIDENCE,Owner information differs or requires verification between datasets.,PENDING,PENDING,,MEDIUM
P0037,M-8036,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0038,M-8037,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0039,M-8038,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0040,M-8039,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0041,M-8040,1,REVIEW GEOMETRY,Geometry issue: Municipal boundary appears spatially shifted.,78,NEEDS REVIEW,A difference was detected between parcel boundaries or geometry.,PENDING,PENDING,,HIGH
P0042,M-8041,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0043,M-8042,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0044,M-8043,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0045,M-8044,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0046,M-8045,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0047,M-8046,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0048,M-8047,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0049,M-8048,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0050,M-8049,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0051,M-8050,1,REVIEW AREA,Recorded parcel areas differ by 48.00 square metres.,82,MEDIUM CONFIDENCE,A difference was detected in the recorded parcel area.,PENDING,PENDING,,MEDIUM
P0052,M-8051,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0053,M-8052,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0054,M-8053,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0055,M-8054,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0056,M-8055,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0057,M-8056,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0058,M-8057,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0059,M-8058,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0060,M-8059,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0061,M-8060,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0062,M-8061,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0063,M-8062,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0064,M-8063,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0065,M-8064,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0066,M-8065,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0067,M-8066,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0068,M-8067,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0069,M-8068,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0070,M-8069,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0071,M-8070,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0072,M-8071,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0073,M-8072,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0074,M-8073,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0075,M-8074,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0076,M-8075,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0077,M-8076,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0078,M-8077,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0079,M-8078,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0080,M-8079,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0081,M-8080,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0082,M-8081,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0083,M-8082,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0084,M-8083,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0085,M-8084,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0086,M-8085,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0087,M-8086,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0088,M-8087,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0089,M-8088,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0090,M-8089,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0091,M-8090,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0092,M-8091,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0093,M-8092,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0094,M-8093,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0095,M-8094,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0096,M-8095,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0097,M-8096,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0098,M-8097,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0099,M-8098,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0100,M-8099,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0101,M-8100,1,REVIEW AREA,Recorded parcel areas differ by 48.00 square metres.,82,MEDIUM CONFIDENCE,A difference was detected in the recorded parcel area.,PENDING,PENDING,,MEDIUM
P0102,M-8101,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0103,M-8102,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0104,M-8103,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0105,M-8104,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0106,M-8105,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0107,M-8106,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0108,M-8107,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0109,M-8108,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0110,M-8109,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0111,M-8110,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0112,M-8111,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0113,M-8112,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0114,M-8113,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0115,M-8114,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0116,M-8115,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0117,M-8116,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0118,M-8117,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0119,M-8118,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0120,M-8119,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0121,M-8120,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0122,M-8121,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0123,M-8122,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0124,M-8123,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0125,M-8124,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0126,M-8125,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0127,M-8126,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0128,M-8127,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0129,M-8128,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0130,M-8129,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0131,M-8130,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0132,M-8131,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0133,M-8132,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0134,M-8133,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0135,M-8134,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0136,M-8135,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0137,M-8136,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0138,M-8137,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0139,M-8138,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0140,M-8139,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0141,M-8140,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0142,M-8141,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0143,M-8142,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0144,M-8143,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0145,M-8144,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0146,M-8145,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0147,M-8146,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0148,M-8147,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0149,M-8148,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0150,M-8149,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0151,M-8150,1,REVIEW AREA,Recorded parcel areas differ by 60.00 square metres.,82,MEDIUM CONFIDENCE,A difference was detected in the recorded parcel area.,PENDING,PENDING,,MEDIUM
P0152,M-8151,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0153,M-8152,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0154,M-8153,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0155,M-8154,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0156,M-8155,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0157,M-8156,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
P0158,M-8157,0,NO ACTION,No significant conflict detected between the available records.,98,HIGH CONFIDENCE,No significant conflict was detected between the available records.,AUTO CLEARED,NOT REQUIRED,,NONE
